"reg","col","inv","col.1","act","col.2","int","col.3","sup","col.4","str","col.5","trd","col.6","mix","col.7","ehh","total","end"
"EU 28","&","Prod.","&",0.9866,"&",0.729,"&",1.0645,"&",1.0209,"&","0.9973","&",1.0009,"&",1.0027,0.7823,"\\"
"USA","&","Prod.","&",0.9601,"&",1.03,"&",0.7299,"&",1.0497,"&","0.9992","&",1.0029,"&",1.0098,0.7667,"\\"
"Japan","&","Prod.","&",1.0112,"&",1.3502,"&",0.5862,"&",1.0779,"&","1.0076","&",0.9839,"&",0.9996,0.8548,"\\"
"R.o. OECD","&","Prod.","&",0.96,"&",0.7756,"&",1.0008,"&",0.9199,"&","0.9943","&",1.0089,"&",1.0089,0.6938,"\\"
"EFTA","&","Prod.","&",0.9472,"&",0.6885,"&",1.3083,"&",1.023,"&","0.9896","&",1.0058,"&",1.0065,0.8745,"\\"
"China","&","Prod.","&",0.8323,"&",0.6683,"&",0.9181,"&",0.9903,"&","1.0001","&",1.0057,"&",0.9605,0.4886,"\\"
"EU 28","&","Fin. Prod.","&",0.977,"&",0.6862,"&",1.3349,"&",1.0123,"&","NA","&",1.0023,"&",1.0022,0.91,"\\"
"USA","&","Fin. Prod.","&",0.9535,"&",0.9463,"&",0.8071,"&",1.0459,"&","NA","&",1.0032,"&",1.0095,0.7713,"\\"
"Japan","&","Fin. Prod.","&",0.9775,"&",1.0128,"&",0.8328,"&",1.0573,"&","NA","&",0.9888,"&",0.9997,0.8617,"\\"
"R.o. OECD","&","Fin. Prod.","&",0.9574,"&",0.7281,"&",1.1248,"&",0.9062,"&","NA","&",1.0086,"&",1.0085,0.7228,"\\"
"EFTA","&","Fin. Prod.","&",0.9539,"&",0.6841,"&",1.5288,"&",1.024,"&","NA","&",1.0086,"&",1.0053,1.0357,"\\"
"China","&","Fin. Prod.","&",0.8364,"&",0.6706,"&",0.9299,"&",0.9886,"&","NA","&",1.0076,"&",0.9605,0.499,"\\"
"EU 28","&","Fin. Cons.","&",0.9753,"&",0.695,"&",1.3251,"&",1.0168,"&","1.004","&",1.0025,"&",1.0022,0.9213,"\\"
"USA","&","Fin. Cons.","&",0.9523,"&",0.9083,"&",0.8604,"&",1.0327,"&","0.9992","&",1.0035,"&",1.009,0.7776,"\\"
"Japan","&","Fin. Cons.","&",0.9802,"&",0.9667,"&",0.8819,"&",1.0401,"&","1.0018","&",0.9895,"&",0.9997,0.8614,"\\"
"R.o. OECD","&","Fin. Cons.","&",0.9441,"&",0.7348,"&",1.1275,"&",0.9221,"&","1.0282","&",1.0087,"&",1.0085,0.7544,"\\"
"EFTA","&","Fin. Cons.","&",0.9436,"&",0.7008,"&",1.3181,"&",0.9875,"&","1.0188","&",1.0065,"&",1.0042,0.8864,"\\"
"China","&","Fin. Cons.","&",0.8178,"&",0.681,"&",0.9262,"&",0.9823,"&","0.9978","&",1.0079,"&",0.9578,0.4881,"\\"
